,City,Lat,Lng,Max Temp,Humidity,Wind Speed,Country,Date,Cloudiness
297,peniche,39.3558,-9.3811,60.28,62,17.98,PT,1645374016,17
298,mahibadhoo,3.7833,72.9667,82.65,68,6.13,MV,1645374017,100
299,cay,38.5917,31.0286,39.49,64,4.92,TR,1645374017,82
300,zhengjiatun,43.5064,123.5064,6.03,87,2.64,CN,1645374018,99
301,san cristobal,7.7669,-72.225,64.58,89,2.82,VE,1645374018,99
302,wuan,31.6836,112.0044,38.34,59,5.75,CN,1645374019,96
303,freeport,40.6576,-73.5832,29.28,41,5.75,US,1645373786,0
304,bridlington,54.0831,-0.1919,47.32,90,8.01,GB,1645374019,100
305,nizwa,22.9333,57.5333,76.05,28,4.52,OM,1645374019,5
306,verkhoyansk,67.5447,133.385,-40.97,100,1.43,RU,1645374024,52
307,baykit,61.67,96.37,4.26,100,1.95,RU,1645374024,97
308,namtsy,62.7161,129.6658,-36.29,100,2.1,RU,1645374025,89
309,puro,12.4841,123.3827,77.86,85,10.0,PH,1645374025,84
310,mehamn,71.0357,27.8492,21.15,73,5.75,NO,1645374025,40
311,santa rosa,14.3122,121.1114,79.95,77,9.35,PH,1645373456,95
312,ndende,-2.4008,11.3581,81.84,78,2.21,GA,1645374026,97
313,jizan,17.3333,42.6667,79.74,50,13.51,SA,1645374026,44
314,wilmington,34.2257,-77.9447,47.71,51,11.5,US,1645373951,0
315,kirakira,-10.4544,161.9205,80.08,83,2.95,SB,1645373809,100
316,goderich,43.7501,-81.7165,28.87,64,25.32,CA,1645374027,56
317,bathsheba,13.2167,-59.5167,83.01,61,18.41,BB,1645374027,20
318,mareeba,-17.0,145.4333,73.4,90,2.24,AU,1645374088,33
319,karpogory,64.0019,44.4451,31.37,99,2.06,RU,1645374088,100
320,sao felix do xingu,-6.6447,-51.995,82.18,71,3.51,BR,1645374088,86
321,mataram,-8.5833,116.1167,79.61,86,2.82,ID,1645374089,86
322,abu kamal,34.4506,40.9171,56.21,70,6.22,SY,1645374089,67
323,leningradskiy,69.3833,178.4167,-33.36,99,4.12,RU,1645374090,56
324,saint-pierre,-21.3393,55.4781,81.52,78,29.93,RE,1645374090,100
325,kaduqli,11.0167,29.7167,81.9,11,13.04,SD,1645374090,86
326,mangrol,21.1167,70.1167,73.71,60,13.56,IN,1645374094,27
327,mana,5.6592,-53.7767,79.54,82,6.8,GF,1645374094,53
328,sundargarh,22.1167,84.0333,69.69,23,7.78,IN,1645374095,29
329,kudahuvadhoo,2.6708,72.8944,82.78,65,4.03,MV,1645374095,79
330,inirida,3.8653,-67.9239,91.47,45,2.1,CO,1645374095,9
331,arinos,-15.9169,-46.1056,72.63,87,2.51,BR,1645374096,100
332,sibiti,-3.6819,13.3499,76.37,84,1.52,CG,1645374096,87
333,taybad,34.74,60.7756,52.5,53,3.87,IR,1645374096,100
334,labuhan,-6.8844,112.2051,78.76,87,8.05,ID,1645374097,100
335,huarmey,-10.0681,-78.1522,75.09,76,7.74,PE,1645374097,100
336,hami,42.8,93.45,28.36,35,4.36,CN,1645374098,87
337,vytegra,61.0064,36.4481,24.84,88,11.16,RU,1645373953,100
338,iqaluit,63.7506,-68.5145,-29.47,75,0.0,CA,1645374098,75
339,kaitangata,-46.2817,169.8464,47.95,95,4.0,NZ,1645374098,70
340,luzhou,28.8724,105.4405,46.26,78,4.27,CN,1645374099,100
341,rocha,-34.4833,-54.3333,81.57,48,5.3,UY,1645374099,100
342,ponoka,52.6768,-113.5815,2.82,92,7.38,CA,1645374100,100
343,maine-soroa,13.2114,12.0241,82.08,11,17.07,NE,1645374100,27
344,along,28.1667,94.7667,48.9,97,3.27,IN,1645374100,100
345,debre zeyit,8.75,38.9833,66.29,57,14.5,ET,1645374101,34
346,paamiut,61.994,-49.6678,4.37,70,6.49,GL,1645374101,83
347,lumphat,13.4878,106.9816,76.77,62,9.84,KH,1645374101,98
348,batagay,67.6333,134.6333,-38.72,99,4.16,RU,1645374102,37
349,luderitz,-26.6481,15.1594,75.99,56,25.59,NA,1645374102,0
350,payakumbuh,-0.2202,100.6308,71.44,90,2.04,ID,1645374102,26
351,celestun,20.8667,-90.4,80.02,64,7.78,MX,1645374103,22
352,kidal,18.4411,1.4078,89.24,7,13.49,ML,1645374103,5
353,vestmannaeyjar,63.4427,-20.2734,36.59,51,23.02,IS,1645374104,40
354,taksimo,56.3444,114.8794,-16.35,90,3.09,RU,1645374104,34
355,quatre cocos,-20.2078,57.7625,81.09,87,28.99,MU,1645374105,100
356,provideniya,64.3833,-173.3,-7.35,91,15.73,RU,1645374105,100
357,hare bay,48.8499,-54.0148,26.2,58,7.18,CA,1645374105,99
358,synya,65.3718,58.0387,26.46,92,12.82,RU,1645374106,100
359,le port,-20.9373,55.2919,80.31,73,19.08,RE,1645374106,100
360,dingle,10.9995,122.6711,75.6,87,7.23,PH,1645374106,96
361,pangnirtung,66.1451,-65.7125,-22.86,92,1.59,CA,1645374107,76
362,taoudenni,22.6783,-3.9836,89.87,8,10.31,ML,1645374107,93
363,acajutla,13.5928,-89.8275,89.94,45,7.14,SV,1645374168,5
364,tessalit,20.1986,1.0114,90.0,6,8.39,ML,1645374168,12
365,mumford,5.2618,-0.759,83.34,71,13.35,GH,1645374168,57
366,lundazi,-12.2929,33.1782,67.77,91,3.69,ZM,1645374169,100
